title,N,thesession_url,type,file_name,yt_link,instrumentation,instrument,segmentation,beats
Colonel Fraser,1,https://thesession.org/tunes/1209,reel,01_v01.mp3,youtube.com/watch/ojHYkvkVCdU,solo,bagpipe,"[9.205034014, 17.78154195, 26.200839002, 34.722018141, 43.101791383, 51.449863946, 59.890566893, 68.311337868, 76.718344671, 84.928435374]","[0.050793651, 0.812698413, 1.462630385, 2.039002268, 2.583219955, 3.141950113, 3.6861678, 4.244897959, 4.817346939, 5.38600907, 5.912108844, 6.439319728, 7.024829932, 7.566371882, 8.087800454, 8.642426304, 9.205034014, 9.752698413, 10.284172336, 10.808095238, 11.331791383, 11.889705215, 12.426371882, 12.973265306, 13.506893424, 14.046984127, 14.569002268, 15.104195011, 15.605419501, 16.158004535, 16.69047619, 17.222970522, 17.78154195, 18.277868481, 18.768820862, 19.323673469, 19.87324263, 20.408911565, 20.933310658, 21.471995465, 22.005328798, 22.556190476, 23.07031746, 23.601269841, 24.137142857, 24.669433107, 25.165918367, 25.683696145, 26.200839002, 26.751791383, 27.266553288, 27.822947846, 28.350408163, 28.914693878, 29.443061224, 29.999297052, 30.531201814, 31.069637188, 31.610090703, 32.150952381, 32.71600907, 33.217687075, 33.704716553, 34.206938776, 34.722018141, 35.238684807, 35.781360544, 36.272993197, 36.811609977, 37.341020408, 37.85877551, 38.392267574, 38.941836735, 39.438276644, 39.964058957, 40.486235828, 41.01154195, 41.555283447, 42.034058957, 42.570430839, 43.101791383, 43.616734694, 44.14170068, 44.671587302, 45.197528345, 45.745623583, 46.233265306, 46.754988662, 47.264965986, 47.780975057, 48.301451247, 48.802834467, 49.340816327, 49.870907029, 50.402358277, 50.93462585, 51.449863946, 52.003061224, 52.523015873, 53.033764172, 53.567619048, 54.10675737, 54.62015873, 55.132403628, 55.67, 56.217936508, 56.735668934, 57.253378685, 57.770090703, 58.285555556, 58.823696145, 59.335102041, 59.890566893, 60.434761905, 60.992131519, 61.487619048, 62.006553288, 62.522517007, 63.057505669, 63.584671202, 64.115102041, 64.615736961, 65.175918367, 65.692585034, 66.235918367, 66.739387755, 67.250453515, 67.771768707, 68.311337868, 68.857868481, 69.362539683, 69.904331066, 70.402131519, 70.940498866, 71.466575964, 72.010498866, 72.518707483, 73.014126984, 73.528049887, 74.056734694, 74.591836735, 75.100975057, 75.626326531, 76.169637188, 76.718344671, 77.234399093, 77.775555556, 78.302040816, 78.848526077, 79.366439909, 79.874807256, 80.400612245, 80.927959184, 81.431519274, 81.990113379, 82.518911565, 83.034852608, 83.584421769, 84.10430839, 84.664920635]"
Colonel Fraser,1,,reel,01_v02.mp3,youtube.com/watch/2Lxqn8qsK08,solo,bagpipe,"[11.991768707, 22.098344671, 31.820997732, 41.506598639, 51.433106576, 61.279047619, 70.796689342, 80.537619048, 90.43585034, 100.183945578]","[0.767120181, 1.953151927, 2.958367347, 3.83569161, 4.602993197, 5.330566893, 6.035464853, 6.700113379, 7.361201814, 8.080816327, 8.737891156, 9.383900227, 10.022494331, 10.669659864, 11.333287982, 11.991768707, 12.604535147, 13.235623583, 13.882539683, 14.530975057, 15.196825397, 15.836938776, 16.456371882, 17.109342404, 17.732063492, 18.330136054, 18.91952381, 19.519977324, 20.186689342, 20.85185941, 21.471156463, 22.098344671, 22.700385488, 23.339637188, 23.935510204, 24.576621315, 25.233968254, 25.852698413, 26.483628118, 27.100294785, 27.673219955, 28.265555556, 28.864829932, 29.41829932, 30.019614512, 30.616507937, 31.233265306, 31.820997732, 32.43707483, 33.051655329, 33.649115646, 34.307845805, 34.932630385, 35.567460317, 36.169637188, 36.789387755, 37.365646259, 37.937029478, 38.55244898, 39.114195011, 39.701632653, 40.281882086, 40.921201814, 41.506598639, 42.083378685, 42.69723356, 43.383310658, 44.024603175, 44.617097506, 45.299183673, 45.917165533, 46.517687075, 47.117981859, 47.737505669, 48.381564626, 49.002154195, 49.584512472, 50.189863946, 50.830793651, 51.433106576, 52.033673469, 52.653968254, 53.259591837, 53.838321995, 54.463560091, 55.037573696, 55.671564626, 56.266870748, 56.846303855, 57.444875283, 58.067097506, 58.685283447, 59.298480726, 59.96537415, 60.634535147, 61.279047619, 61.865510204, 62.463718821, 63.083945578, 63.691405896, 64.262335601, 64.850498866, 65.446371882, 66.032040816, 66.623310658, 67.205918367, 67.798820862, 68.358027211, 68.949931973, 69.547641723, 70.169501134, 70.796689342, 71.425056689, 72.050113379, 72.670634921, 73.276439909, 73.850975057, 74.450408163, 75.067868481, 75.684376417, 76.263628118, 76.869501134, 77.507732426, 78.105804989, 78.684104308, 79.301972789, 79.922902494, 80.537619048, 81.138639456, 81.73537415, 82.383424036, 83.026122449, 83.68430839, 84.301632653, 84.920136054, 85.518594104, 86.117913832, 86.732879819, 87.350861678, 87.987369615, 88.587052154, 89.191836735, 89.819455782, 90.43585034, 91.072086168, 91.70569161, 92.332902494, 92.955918367, 93.58723356, 94.217981859, 94.870816327, 95.485986395, 96.105804989, 96.729863946, 97.306122449, 97.906938776, 98.517777778, 99.095464853, 99.700226757]"
Colonel Fraser,1,,reel,01_v03.mp3,youtube.com/watch/9xmr0ZYQVt0,ensemble,"mandolin, fiddle","[8.366530612, 17.168979592, 25.837641723, 34.528480726, 43.340385488, 52.055600907, 60.739886621, 69.470929705, 78.178027211, 86.867913832]","[0.705306122, 1.277528345, 1.820612245, 2.374263039, 2.929705215, 3.450045351, 3.984172336, 4.549206349, 5.089070295, 5.639297052, 6.232086168, 6.772630385, 7.298185941, 7.828752834, 8.366530612, 8.928752834, 9.477732426, 10.040226757, 10.626258503, 11.167120181, 11.704852608, 12.237868481, 12.790612245, 13.354965986, 13.905396825, 14.452063492, 14.988843537, 15.556077098, 16.06430839, 16.599024943, 17.168979592, 17.670498866, 18.247823129, 18.803809524, 19.318526077, 19.857437642, 20.409569161, 20.954263039, 21.45952381, 21.987482993, 22.558798186, 23.124557823, 23.667324263, 24.211564626, 24.764965986, 25.297596372, 25.837641723, 26.409024943, 26.915192744, 27.458208617, 28.007278912, 28.581133787, 29.104104308, 29.652721088, 30.189591837, 30.770294785, 31.29031746, 31.824489796, 32.372675737, 32.916258503, 33.462698413, 34.005034014, 34.528480726, 35.072698413, 35.6238322, 36.206802721, 36.743378685, 37.305827664, 37.839773243, 38.39537415, 38.95600907, 39.480702948, 40.062018141, 40.620793651, 41.124920635, 41.685328798, 42.221451247, 42.770294785, 43.340385488, 43.872403628, 44.415396825, 44.952403628, 45.507120181, 46.040045351, 46.586326531, 47.127505669, 47.677573696, 48.25399093, 48.812176871, 49.363129252, 49.873560091, 50.421882086, 50.956394558, 51.505419501, 52.055600907, 52.602630385, 53.155578231, 53.69292517, 54.246666667, 54.795941043, 55.369229025, 55.912199546, 56.438253968, 56.991836735, 57.521111111, 58.093560091, 58.637482993, 59.138888889, 59.685986395, 60.225283447, 60.739886621, 61.31015873, 61.883514739, 62.405510204, 62.973854875, 63.52723356, 64.056530612, 64.593287982, 65.124988662, 65.692585034, 66.257777778, 66.807324263, 67.32185941, 67.872199546, 68.406077098, 68.952811791, 69.470929705, 70.039886621, 70.596349206, 71.139931973, 71.692539683, 72.248185941, 72.777437642, 73.288684807, 73.821519274, 74.341587302, 74.939705215, 75.490680272, 76.01446712, 76.57170068, 77.102857143, 77.645306122, 78.178027211, 78.722267574, 79.294104308, 79.855941043, 80.397324263, 80.934331066, 81.489206349, 82.044172336, 82.555170068, 83.089705215, 83.626507937, 84.178344671, 84.691655329, 85.241587302, 85.777460317, 86.318027211, 86.867913832]"
Colonel Fraser,1,,reel,01_v04.mp3,youtube.com/watch/hjCyuyc8xxY,solo,whistle,"[9.248412698, 18.409501134, 27.621088435, 36.795170068, 45.909546485, 55.049092971, 64.148208617, 73.212539683, 82.422154195]","[0.064807256, 0.651201814, 1.196235828, 1.797346939, 2.376666667, 2.969773243, 3.533129252, 4.122653061, 4.689909297, 5.24814059, 5.816530612, 6.39553288, 6.966417234, 7.541746032, 8.114013605, 8.681337868, 9.248412698, 9.79893424, 10.410113379, 10.993106576, 11.580090703, 12.16154195, 12.753786848, 13.329705215, 13.8930839, 14.4238322, 15.040181406, 15.610589569, 16.158911565, 16.727188209, 17.305079365, 17.870702948, 18.409501134, 18.969365079, 19.595804989, 20.132879819, 20.740272109, 21.318707483, 21.88106576, 22.452879819, 23.001995465, 23.625736961, 24.192222222, 24.76244898, 25.312653061, 25.866394558, 26.450929705, 27.044761905, 27.621088435, 28.210907029, 28.82569161, 29.389229025, 29.925306122, 30.529863946, 31.105759637, 31.678752834, 32.195102041, 32.782947846, 33.372857143, 33.924489796, 34.509954649, 35.097936508, 35.641201814, 36.202199546, 36.795170068, 37.410907029, 37.990657596, 38.543673469, 39.109659864, 39.684353741, 40.290589569, 40.811972789, 41.394897959, 41.970068027, 42.514285714, 43.128730159, 43.693718821, 44.24707483, 44.795646259, 45.36260771, 45.909546485, 46.464036281, 47.064580499, 47.629138322, 48.18138322, 48.743786848, 49.346802721, 49.906802721, 50.47829932, 51.051156463, 51.612176871, 52.170997732, 52.732086168, 53.305623583, 53.84707483, 54.455487528, 55.049092971, 55.622562358, 56.180226757, 56.733741497, 57.28521542, 57.848163265, 58.440272109, 59.017120181, 59.569365079, 60.12952381, 60.709614512, 61.282630385, 61.840498866, 62.400498866, 63.004421769, 63.581247166, 64.148208617, 64.689024943, 65.23755102, 65.816984127, 66.405578231, 66.990498866, 67.526530612, 68.088163265, 68.662857143, 69.244739229, 69.79047619, 70.357346939, 70.926689342, 71.50154195, 72.071111111, 72.637936508, 73.212539683, 73.787777778, 74.338344671, 74.921723356, 75.534852608, 76.133424036, 76.690793651, 77.204897959, 77.786507937, 78.371156463, 78.952335601, 79.519229025, 80.093514739, 80.680634921, 81.237573696, 81.785646259, 82.422154195]"
Colonel Fraser,1,,reel,01_v05.mp3,youtube.com/watch/JjSQmgDGqOU,ensemble,"bagpipe, percussion","[5.828571429, 14.539319728, 22.773854875, 30.934195011, 39.206417234, 47.467369615, 55.666394558, 63.849954649, 72.151678005, 80.195918367]","[0.77292517, 1.249002268, 1.75276644, 2.266689342, 2.780249433, 3.284421769, 3.76755102, 4.297414966, 4.818253968, 5.332698413, 5.828571429, 6.366802721, 6.885238095, 7.395918367, 7.918185941, 8.433696145, 8.969750567, 9.484285714, 9.981405896, 10.513809524, 10.993786848, 11.493786848, 11.970294785, 12.486621315, 13.000997732, 13.517619048, 14.030725624, 14.539319728, 15.053786848, 15.596213152, 16.106984127, 16.601950113, 17.10244898, 17.637619048, 18.157120181, 18.665782313, 19.176780045, 19.717777778, 20.194535147, 20.721791383, 21.217641723, 21.742267574, 22.23462585, 22.773854875, 23.274580499, 23.785782313, 24.283809524, 24.802879819, 25.313809524, 25.881746032, 26.349909297, 26.867165533, 27.366870748, 27.907052154, 28.398979592, 28.915827664, 29.434920635, 29.966122449, 30.455306122, 30.934195011, 31.454399093, 31.99537415, 32.536984127, 33.019365079, 33.536371882, 34.071111111, 34.587755102, 35.086689342, 35.604807256, 36.112267574, 36.649455782, 37.175759637, 37.667324263, 38.202562358, 38.687278912, 39.206417234, 39.718594104, 40.257460317, 40.770680272, 41.267573696, 41.804081633, 42.300113379, 42.837800454, 43.371133787, 43.886553288, 44.387641723, 44.904444444, 45.43399093, 45.953401361, 46.448367347, 46.964172336, 47.467369615, 48.001360544, 48.517210884, 49.039342404, 49.569387755, 50.070136054, 50.58893424, 51.083968254, 51.599183673, 52.100748299, 52.595487528, 53.099433107, 53.614512472, 54.157800454, 54.650952381, 55.169229025, 55.666394558, 56.168072562, 56.723673469, 57.224126984, 57.759115646, 58.262358277, 58.749931973, 59.248095238, 59.772698413, 60.314444444, 60.813560091, 61.316938776, 61.817006803, 62.333650794, 62.858526077, 63.351473923, 63.849954649, 64.390997732, 64.868548753, 65.386825397, 65.900975057, 66.432358277, 66.968253968, 67.501950113, 68.044761905, 68.516145125, 69.051972789, 69.569954649, 70.093877551, 70.616961451, 71.137868481, 71.636575964, 72.151678005, 72.648911565, 73.172857143, 73.668820862, 74.189501134, 74.72015873, 75.21707483, 75.756281179, 76.28893424, 76.780929705, 77.322086168, 77.838049887, 78.34845805, 78.86521542, 79.384195011, 79.88478458]"
Colonel Fraser,1,,reel,01_v06.mp3,youtube.com/watch/rWrW6cEycBc,ensemble,"flute, percussion","[7.778684807, 15.824399093, 23.918707483, 32.036099773, 40.188480726, 48.351111111, 56.501156463, 64.613446712, 72.801020408, 80.86446712]","[0.039909297, 0.615328798, 1.219047619, 1.718276644, 2.252335601, 2.751564626, 3.239183673, 3.77324263, 4.272471655, 4.77170068, 5.270929705, 5.781768707, 6.257777778, 6.76861678, 7.279455782, 7.778684807, 8.266303855, 8.777142857, 9.276371882, 9.787210884, 10.274829932, 10.774058957, 11.273287982, 11.795736961, 12.294965986, 12.794195011, 13.281814059, 13.815873016, 14.315102041, 14.802721088, 15.325170068, 15.824399093, 16.322811791, 16.866485261, 17.347845805, 17.849931973, 18.336122449, 18.829274376, 19.336734694, 19.879297052, 20.382857143, 20.863424036, 21.370385488, 21.86861678, 22.415759637, 22.916099773, 23.416281179, 23.918707483, 24.413673469, 24.932517007, 25.469410431, 25.96861678, 26.48122449, 26.98170068, 27.516303855, 28.021360544, 28.518843537, 29.001247166, 29.511519274, 30.033582766, 30.538344671, 30.998707483, 31.537346939, 32.036099773, 32.554376417, 33.066553288, 33.593492063, 34.107188209, 34.636666667, 35.155419501, 35.66968254, 36.168707483, 36.688435374, 37.181836735, 37.688390023, 38.218095238, 38.721655329, 39.202086168, 39.69324263, 40.188480726, 40.728548753, 41.273469388, 41.753514739, 42.248548753, 42.787709751, 43.284512472, 43.788662132, 44.299365079, 44.845238095, 45.317619048, 45.854512472, 46.354195011, 46.850453515, 47.379455782, 47.851156463, 48.351111111, 48.849274376, 49.359206349, 49.897006803, 50.409115646, 50.915192744, 51.447324263, 51.925442177, 52.41814059, 52.983673469, 53.471882086, 53.989160998, 54.493219955, 55.007823129, 55.499863946, 56.008707483, 56.501156463, 57.006031746, 57.520408163, 58.029092971, 58.530816327, 59.015827664, 59.52553288, 60.042517007, 60.552494331, 61.069160998, 61.545941043, 62.063378685, 62.584081633, 63.097528345, 63.605260771, 64.100113379, 64.613446712, 65.148526077, 65.632403628, 66.176575964, 66.661179138, 67.201564626, 67.719365079, 68.251836735, 68.769886621, 69.298095238, 69.783673469, 70.286530612, 70.790997732, 71.302811791, 71.829569161, 72.321043084, 72.801020408, 73.300612245, 73.795238095, 74.301678005, 74.829229025, 75.341201814, 75.853492063, 76.350204082, 76.829478458, 77.348027211, 77.881247166, 78.370249433, 78.857120181, 79.389319728, 79.874761905, 80.381496599, 80.86446712]"
Colonel Fraser,1,,reel,01_v07.mp3,youtube.com/watch/zDOIJajw1ss,ensemble,"flute, guitar","[8.9838322, 17.391746032, 25.730249433, 33.996213152, 42.333605442, 50.496371882, 58.699637188, 66.876462585, 74.997346939, 82.7138322]","[0.215238095, 0.892653061, 1.419818594, 2.020136054, 2.554195011, 3.1230839, 3.715192744, 4.249977324, 4.774013605, 5.29600907, 5.789954649, 6.339047619, 6.864829932, 7.430385488, 7.912290249, 8.450816327, 8.9838322, 9.481632653, 10.012698413, 10.576689342, 11.099138322, 11.644807256, 12.19047619, 12.71292517, 13.194263039, 13.71138322, 14.196575964, 14.742675737, 15.252857143, 15.806417234, 16.335238095, 16.857687075, 17.391746032, 17.901088435, 18.435419501, 18.975328798, 19.477052154, 20.009795918, 20.516825397, 21.028367347, 21.551655329, 22.110975057, 22.610294785, 23.129886621, 23.631972789, 24.146598639, 24.664648526, 25.181791383, 25.730249433, 26.225623583, 26.773151927, 27.260839002, 27.806553288, 28.313718821, 28.845396825, 29.368684807, 29.862789116, 30.36170068, 30.913650794, 31.422743764, 31.975079365, 32.479977324, 32.96324263, 33.501315193, 33.996213152, 34.53845805, 35.062131519, 35.564285714, 36.097505669, 36.643605442, 37.148208617, 37.681995465, 38.193764172, 38.715555556, 39.233492063, 39.732108844, 40.249637188, 40.78569161, 41.295396825, 41.822789116, 42.333605442, 42.827414966, 43.348163265, 43.850929705, 44.342585034, 44.861088435, 45.388979592, 45.903038549, 46.414058957, 46.919115646, 47.430634921, 47.954557823, 48.443469388, 48.961315193, 49.481020408, 50.016485261, 50.496371882, 51.031269841, 51.565555556, 52.091927438, 52.5738322, 53.101133787, 53.622018141, 54.131746032, 54.635623583, 55.142698413, 55.664988662, 56.159954649, 56.686485261, 57.197256236, 57.678526077, 58.218276644, 58.699637188, 59.232131519, 59.753106576, 60.244285714, 60.770725624, 61.296235828, 61.783764172, 62.307619048, 62.80122449, 63.313786848, 63.79814059, 64.305351474, 64.830997732, 65.326394558, 65.830090703, 66.34707483, 66.876462585, 67.383310658, 67.895873016, 68.417052154, 68.913514739, 69.447346939, 69.951519274, 70.46324263, 70.929818594, 71.464126984, 71.967120181, 72.460997732, 72.983151927, 73.484512472, 73.98984127, 74.504285714, 74.997346939, 75.515442177, 75.997868481, 76.513424036, 77.02106576, 77.541632653, 78.040362812, 78.541088435, 79.03138322, 79.546439909, 80.045986395, 80.535328798, 81.045056689, 81.545238095, 82.042675737, 82.510975057]"
Colonel Fraser,1,,reel,01_v08.mp3,youtube.com/watch/6IWb3UIDSqg,ensemble,"flute, guitar","[10.654557823, 19.5, 28.189773243, 36.668163265, 44.934943311, 53.025782313, 61.0661678, 69.015328798, 76.887823129, 84.513378685]","[0.743900227, 1.564897959, 2.270748299, 2.97877551, 3.585351474, 4.219818594, 4.83154195, 5.417709751, 5.998231293, 6.612176871, 7.198979592, 7.778911565, 8.371587302, 8.93292517, 9.49553288, 10.0638322, 10.654557823, 11.221655329, 11.77600907, 12.318594104, 12.864739229, 13.467981859, 13.985623583, 14.559977324, 15.107641723, 15.661179138, 16.23755102, 16.766054422, 17.298412698, 17.862312925, 18.406031746, 18.970340136, 19.5, 20.041428571, 20.618072562, 21.152698413, 21.731360544, 22.253945578, 22.766984127, 23.322834467, 23.85, 24.381678005, 24.953809524, 25.473015873, 26.035873016, 26.579569161, 27.11814059, 27.653922902, 28.189773243, 28.714557823, 29.269387755, 29.823151927, 30.367029478, 30.884988662, 31.408208617, 31.935351474, 32.470136054, 32.986326531, 33.525011338, 34.063854875, 34.587278912, 35.116031746, 35.651950113, 36.157278912, 36.668163265, 37.211768707, 37.695895692, 38.266961451, 38.764761905, 39.298594104, 39.819433107, 40.329863946, 40.834965986, 41.353356009, 41.852494331, 42.388253968, 42.926462585, 43.414580499, 43.951632653, 44.455328798, 44.934943311, 45.451632653, 45.949274376, 46.46968254, 46.946598639, 47.491836735, 47.975827664, 48.484535147, 49.007210884, 49.529387755, 50.003151927, 50.564807256, 51.051814059, 51.547981859, 52.05478458, 52.567868481, 53.025782313, 53.551791383, 54.067097506, 54.623151927, 55.117324263, 55.616507937, 56.130544218, 56.618163265, 57.130453515, 57.600907029, 58.116689342, 58.606712018, 59.099569161, 59.583197279, 60.092018141, 60.588117914, 61.0661678, 61.577755102, 62.068276644, 62.576870748, 63.072222222, 63.563333333, 64.051746032, 64.551519274, 65.032040816, 65.531746032, 66.015283447, 66.530997732, 67.014761905, 67.502698413, 68.011609977, 68.527709751, 69.015328798, 69.51462585, 69.998276644, 70.517664399, 71.002970522, 71.517845805, 71.998435374, 72.504104308, 72.967346939, 73.444580499, 73.966235828, 74.454988662, 74.934920635, 75.427120181, 75.93106576, 76.422063492, 76.887823129, 77.388072562, 77.852902494, 78.337936508, 78.862857143, 79.355124717, 79.847596372, 80.337278912, 80.823129252, 81.282653061, 81.809795918, 82.293219955, 82.756281179, 83.252426304, 83.71723356, 84.20446712]"
Colonel Fraser,1,,reel,01_v09.mp3,youtube.com/watch/n-c7yWA5Pj0,ensemble,"bagpipe, mandolin","[8.179773243, 16.621133787, 25.057777778, 33.525986395, 41.916938776, 50.292789116, 58.798480726, 67.268412698, 75.675714286]","[0.648594104, 1.181133787, 1.720362812, 2.2938322, 2.818163265, 3.391473923, 3.92952381, 4.470680272, 4.998344671, 5.52015873, 6.05414966, 6.582562358, 7.125238095, 7.635306122, 8.179773243, 8.706802721, 9.254195011, 9.795011338, 10.320952381, 10.869274376, 11.412040816, 11.92170068, 12.444217687, 12.966507937, 13.483809524, 14.027687075, 14.537165533, 15.070861678, 15.578911565, 16.085419501, 16.621133787, 17.103673469, 17.621746032, 18.168956916, 18.678163265, 19.196848073, 19.733537415, 20.280793651, 20.806190476, 21.305578231, 21.85, 22.384399093, 22.905804989, 23.44031746, 23.961269841, 24.494852608, 25.057777778, 25.565827664, 26.083038549, 26.61553288, 27.182811791, 27.697596372, 28.235306122, 28.760204082, 29.265011338, 29.782721088, 30.322517007, 30.856485261, 31.371519274, 31.919115646, 32.443877551, 32.988548753, 33.525986395, 34.024988662, 34.574104308, 35.09755102, 35.640544218, 36.170770975, 36.704512472, 37.227210884, 37.744489796, 38.261292517, 38.773605442, 39.262562358, 39.817346939, 40.392653061, 40.888843537, 41.417210884, 41.916938776, 42.454535147, 42.951609977, 43.454671202, 44.016281179, 44.519115646, 45.052312925, 45.583877551, 46.090136054, 46.623537415, 47.124285714, 47.663945578, 48.166099773, 48.693446712, 49.240725624, 49.773945578, 50.292789116, 50.828185941, 51.396984127, 51.908707483, 52.458004535, 53.025351474, 53.559546485, 54.077573696, 54.575170068, 55.102743764, 55.628276644, 56.120340136, 56.632811791, 57.210113379, 57.746598639, 58.250022676, 58.798480726, 59.331428571, 59.853741497, 60.373287982, 60.885464853, 61.403605442, 61.930204082, 62.460861678, 63.031315193, 63.535555556, 64.09170068, 64.58723356, 65.093582766, 65.634988662, 66.190068027, 66.723741497, 67.268412698, 67.783038549, 68.319297052, 68.823151927, 69.333922902, 69.861405896, 70.426485261, 70.947709751, 71.482517007, 72.001950113, 72.535102041, 73.073401361, 73.560249433, 74.096734694, 74.652267574, 75.175192744, 75.675714286]"
Colonel Fraser,1,,reel,01_v10.mp3,youtube.com/watch/GsH8Sq3NJj8,solo,flute,"[8.905759637, 17.995963719, 27.080884354, 36.112993197, 45.165419501, 54.272403628, 63.294081633, 72.314852608, 81.262743764, 89.904761905]","[0.055147392, 0.711655329, 1.345170068, 1.93122449, 2.54553288, 3.144852608, 3.740022676, 4.316190476, 4.89446712, 5.481473923, 6.045487528, 6.660068027, 7.230589569, 7.761269841, 8.359183673, 8.905759637, 9.48106576, 10.078276644, 10.646848073, 11.209342404, 11.784126984, 12.412653061, 12.949659864, 13.479886621, 14.02845805, 14.613628118, 15.177777778, 15.778095238, 16.332312925, 16.901496599, 17.464807256, 17.995963719, 18.621519274, 19.159183673, 19.692970522, 20.290430839, 20.84138322, 21.435124717, 21.977981859, 22.526349206, 23.093310658, 23.666394558, 24.237596372, 24.808662132, 25.366893424, 25.942335601, 26.50814059, 27.080884354, 27.621564626, 28.190680272, 28.741609977, 29.29739229, 29.893219955, 30.445918367, 30.996825397, 31.542789116, 32.174104308, 32.709410431, 33.270136054, 33.850884354, 34.416281179, 34.964988662, 35.573401361, 36.112993197, 36.696099773, 37.225668934, 37.800362812, 38.395623583, 38.955714286, 39.524399093, 40.081519274, 40.629319728, 41.175419501, 41.767641723, 42.35707483, 42.918095238, 43.499818594, 44.065351474, 44.592176871, 45.165419501, 45.740612245, 46.303310658, 46.870045351, 47.450702948, 48.002380952, 48.569705215, 49.159092971, 49.677278912, 50.292494331, 50.813424036, 51.403514739, 51.992154195, 52.57430839, 53.161201814, 53.724195011, 54.272403628, 54.831020408, 55.390249433, 55.964058957, 56.527936508, 57.107029478, 57.665011338, 58.23675737, 58.780022676, 59.357369615, 59.919206349, 60.510226757, 61.070136054, 61.65170068, 62.197687075, 62.757324263, 63.294081633, 63.880090703, 64.42755102, 64.994058957, 65.558163265, 66.114285714, 66.687709751, 67.281405896, 67.807709751, 68.391609977, 68.959773243, 69.540498866, 70.090566893, 70.671088435, 71.22952381, 71.783151927, 72.314852608, 72.908911565, 73.459183673, 74.056870748, 74.607165533, 75.194693878, 75.740566893, 76.292335601, 76.819931973, 77.399297052, 77.95755102, 78.491950113, 79.087981859, 79.624126984, 80.196099773, 80.72739229, 81.262743764, 81.879115646, 82.448208617, 83.01446712, 83.577256236, 84.177165533, 84.678095238, 85.243582766, 85.779024943, 86.343741497, 86.890816327, 87.42968254, 88.024648526, 88.547165533, 89.123265306, 89.701950113]"
